Case_ID,Case_Text,Case_Type,Favor_Result
4574,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Survey Error,Petitioner
4575,Survey number mismatch over commercial land involving the state government filed in district court.,Land Dispute,Respondent
4576,Ownership conflict over agricultural land against local municipality filed in district court.,Land Dispute,Government
4577,Title deed forgery over private property involving the state government filed in district court.,Survey Error,Respondent
4578,Title deed forgery over government land between petitioner and respondent filed in district court.,Land Dispute,Government
4579,Ownership conflict over commercial land between two private parties filed in district court.,Survey Error,Government
4580,Ownership conflict over private property between two private parties filed in district court.,Ownership Conflict,Government
4581,Illegal possession over government land against local municipality filed in district court.,Survey Error,Respondent
4582,Illegal possession over agricultural land against a private company filed in district court.,Land Dispute,Government
4583,Title deed forgery over agricultural land involving the state government filed in district court.,Ownership Conflict,Petitioner
4584,Ownership conflict over private property against local municipality filed in district court.,Survey Error,Respondent
4585,Illegal possession over commercial land against a private company filed in district court.,Ownership Conflict,Petitioner
4586,Title deed forgery over private property involving the state government filed in district court.,Survey Error,Respondent
4587,Illegal possession over residential land between two private parties filed in district court.,Ownership Conflict,Petitioner
4588,Boundary dispute over commercial land between two private parties filed in district court.,Ownership Conflict,Petitioner
4589,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Survey Error,Government
4590,Title deed forgery over agricultural land against a private company filed in district court.,Ownership Conflict,Petitioner
4591,Illegal possession over commercial land against local municipality filed in district court.,Survey Error,Respondent
4592,Ownership conflict over residential land against local municipality filed in district court.,Ownership Conflict,Petitioner
4593,Boundary dispute over government land between two private parties filed in district court.,Land Dispute,Government
4594,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Land Dispute,Respondent
4595,Title deed forgery over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
4596,Survey number mismatch over private property against a private company filed in district court.,Land Dispute,Petitioner
4597,Survey number mismatch over private property against a private company filed in district court.,Ownership Conflict,Petitioner
4598,Title deed forgery over commercial land against local municipality filed in district court.,Survey Error,Respondent
4599,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
4600,Illegal possession over residential land involving the state government filed in district court.,Land Dispute,Petitioner
4601,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Respondent
4602,Ownership conflict over private property between two private parties filed in district court.,Ownership Conflict,Government
4603,Illegal possession over private property between two private parties filed in district court.,Survey Error,Respondent
4604,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
4605,Boundary dispute over private property between petitioner and respondent filed in district court.,Land Dispute,Respondent
4606,Title deed forgery over agricultural land involving the state government filed in district court.,Land Dispute,Petitioner
4607,Ownership conflict over private property between petitioner and respondent filed in district court.,Survey Error,Respondent
4608,Survey number mismatch over government land against local municipality filed in district court.,Land Dispute,Respondent
4609,Illegal possession over residential land between petitioner and respondent filed in district court.,Land Dispute,Government
4610,Illegal possession over private property involving the state government filed in district court.,Ownership Conflict,Respondent
4611,Title deed forgery over agricultural land against a private company filed in district court.,Survey Error,Petitioner
4612,Boundary dispute over private property between two private parties filed in district court.,Land Dispute,Petitioner
4613,Boundary dispute over residential land against local municipality filed in district court.,Land Dispute,Respondent
4614,Illegal possession over private property against local municipality filed in district court.,Land Dispute,Government
4615,Title deed forgery over commercial land against a private company filed in district court.,Ownership Conflict,Respondent
4616,Boundary dispute over commercial land between two private parties filed in district court.,Survey Error,Petitioner
4617,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Survey Error,Respondent
4618,Boundary dispute over residential land against a private company filed in district court.,Survey Error,Government
4619,Illegal possession over private property against local municipality filed in district court.,Land Dispute,Petitioner
4620,Boundary dispute over commercial land involving the state government filed in district court.,Land Dispute,Respondent
4621,Illegal possession over government land against local municipality filed in district court.,Ownership Conflict,Petitioner
4622,Boundary dispute over commercial land against a private company filed in district court.,Land Dispute,Respondent
4623,Illegal possession over private property between two private parties filed in district court.,Survey Error,Respondent
4624,Title deed forgery over private property against a private company filed in district court.,Survey Error,Respondent
4625,Title deed forgery over private property involving the state government filed in district court.,Survey Error,Petitioner
4626,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
4627,Survey number mismatch over government land involving the state government filed in district court.,Ownership Conflict,Respondent
4628,Illegal possession over private property against local municipality filed in district court.,Ownership Conflict,Government
4629,Illegal possession over private property between two private parties filed in district court.,Ownership Conflict,Government
4630,Survey number mismatch over commercial land between two private parties filed in district court.,Ownership Conflict,Government
4631,Illegal possession over private property against a private company filed in district court.,Land Dispute,Government
4632,Ownership conflict over agricultural land involving the state government filed in district court.,Land Dispute,Petitioner
4633,Boundary dispute over private property involving the state government filed in district court.,Land Dispute,Respondent
4634,Title deed forgery over agricultural land against local municipality filed in district court.,Ownership Conflict,Petitioner
4635,Ownership conflict over agricultural land against a private company filed in district court.,Ownership Conflict,Government
4636,Title deed forgery over government land against a private company filed in district court.,Land Dispute,Respondent
4637,Boundary dispute over agricultural land involving the state government filed in district court.,Land Dispute,Respondent
4638,Illegal possession over government land involving the state government filed in district court.,Ownership Conflict,Respondent
4639,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Land Dispute,Respondent
4640,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
4641,Survey number mismatch over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
4642,Survey number mismatch over agricultural land between two private parties filed in district court.,Survey Error,Government
4643,Illegal possession over private property between two private parties filed in district court.,Land Dispute,Government
4644,Survey number mismatch over government land involving the state government filed in district court.,Ownership Conflict,Respondent
4645,Title deed forgery over government land against local municipality filed in district court.,Survey Error,Petitioner
4646,Survey number mismatch over residential land against a private company filed in district court.,Survey Error,Respondent
4647,Survey number mismatch over private property involving the state government filed in district court.,Land Dispute,Government
4648,Survey number mismatch over commercial land between petitioner and respondent filed in district court.,Survey Error,Respondent
4649,Title deed forgery over private property between two private parties filed in district court.,Land Dispute,Respondent
4650,Illegal possession over private property between petitioner and respondent filed in district court.,Land Dispute,Government
4651,Ownership conflict over residential land against local municipality filed in district court.,Ownership Conflict,Government
4652,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Government
4653,Survey number mismatch over residential land against local municipality filed in district court.,Survey Error,Respondent
4654,Ownership conflict over commercial land against local municipality filed in district court.,Ownership Conflict,Respondent
4655,Illegal possession over residential land involving the state government filed in district court.,Land Dispute,Respondent
4656,Illegal possession over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
4657,Illegal possession over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
4658,Ownership conflict over government land against local municipality filed in district court.,Survey Error,Petitioner
4659,Boundary dispute over agricultural land against a private company filed in district court.,Ownership Conflict,Government
4660,Title deed forgery over residential land between two private parties filed in district court.,Survey Error,Petitioner
4661,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Survey Error,Government
4662,Title deed forgery over government land involving the state government filed in district court.,Survey Error,Petitioner
4663,Illegal possession over residential land between petitioner and respondent filed in district court.,Survey Error,Respondent
4664,Title deed forgery over residential land between two private parties filed in district court.,Land Dispute,Government
4665,Ownership conflict over agricultural land against a private company filed in district court.,Ownership Conflict,Government
4666,Boundary dispute over residential land against local municipality filed in district court.,Survey Error,Petitioner
4667,Title deed forgery over private property between two private parties filed in district court.,Land Dispute,Government
4668,Illegal possession over agricultural land against a private company filed in district court.,Ownership Conflict,Petitioner
4669,Survey number mismatch over commercial land against a private company filed in district court.,Land Dispute,Petitioner
4670,Ownership conflict over private property between two private parties filed in district court.,Ownership Conflict,Petitioner
4671,Title deed forgery over agricultural land against a private company filed in district court.,Land Dispute,Petitioner
4672,Survey number mismatch over government land against local municipality filed in district court.,Survey Error,Petitioner
4673,Illegal possession over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
4674,Ownership conflict over commercial land against local municipality filed in district court.,Survey Error,Respondent
4675,Illegal possession over commercial land against a private company filed in district court.,Survey Error,Government
4676,Ownership conflict over commercial land between two private parties filed in district court.,Land Dispute,Government
4677,Survey number mismatch over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Government
4678,Survey number mismatch over agricultural land between two private parties filed in district court.,Ownership Conflict,Respondent
4679,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Respondent
4680,Illegal possession over commercial land between petitioner and respondent filed in district court.,Land Dispute,Government
4681,Title deed forgery over private property between two private parties filed in district court.,Ownership Conflict,Respondent
4682,Illegal possession over residential land between petitioner and respondent filed in district court.,Land Dispute,Respondent
4683,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Land Dispute,Respondent
4684,Survey number mismatch over commercial land between two private parties filed in district court.,Land Dispute,Respondent
4685,Illegal possession over agricultural land involving the state government filed in district court.,Land Dispute,Petitioner
4686,Illegal possession over agricultural land against local municipality filed in district court.,Ownership Conflict,Petitioner
4687,Ownership conflict over agricultural land between two private parties filed in district court.,Land Dispute,Government
4688,Title deed forgery over commercial land involving the state government filed in district court.,Land Dispute,Government
4689,Illegal possession over government land against local municipality filed in district court.,Land Dispute,Government
4690,Boundary dispute over residential land involving the state government filed in district court.,Ownership Conflict,Petitioner
4691,Ownership conflict over residential land involving the state government filed in district court.,Land Dispute,Government
4692,Boundary dispute over residential land between two private parties filed in district court.,Land Dispute,Respondent
4693,Title deed forgery over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Government
4694,Illegal possession over government land between two private parties filed in district court.,Ownership Conflict,Government
4695,Ownership conflict over government land between petitioner and respondent filed in district court.,Survey Error,Respondent
4696,Survey number mismatch over private property against a private company filed in district court.,Ownership Conflict,Respondent
4697,Ownership conflict over private property against local municipality filed in district court.,Survey Error,Respondent
4698,Survey number mismatch over private property involving the state government filed in district court.,Survey Error,Respondent
4699,Boundary dispute over agricultural land between two private parties filed in district court.,Survey Error,Respondent
4700,Boundary dispute over agricultural land between two private parties filed in district court.,Ownership Conflict,Government
4701,Title deed forgery over residential land against local municipality filed in district court.,Land Dispute,Government
4702,Ownership conflict over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
4703,Title deed forgery over government land involving the state government filed in district court.,Land Dispute,Respondent
4704,Illegal possession over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
4705,Survey number mismatch over private property against local municipality filed in district court.,Land Dispute,Respondent
4706,Title deed forgery over government land against a private company filed in district court.,Land Dispute,Respondent
4707,Ownership conflict over agricultural land involving the state government filed in district court.,Ownership Conflict,Respondent
4708,Survey number mismatch over private property involving the state government filed in district court.,Land Dispute,Respondent
4709,Boundary dispute over private property against local municipality filed in district court.,Survey Error,Respondent
4710,Ownership conflict over agricultural land involving the state government filed in district court.,Ownership Conflict,Respondent
4711,Illegal possession over private property against a private company filed in district court.,Land Dispute,Government
4712,Illegal possession over residential land against a private company filed in district court.,Survey Error,Government
4713,Survey number mismatch over commercial land against local municipality filed in district court.,Land Dispute,Government
4714,Illegal possession over government land against a private company filed in district court.,Ownership Conflict,Government
4715,Illegal possession over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Government
4716,Survey number mismatch over government land involving the state government filed in district court.,Ownership Conflict,Petitioner
4717,Illegal possession over government land involving the state government filed in district court.,Survey Error,Petitioner
4718,Title deed forgery over agricultural land between two private parties filed in district court.,Survey Error,Petitioner
4719,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Respondent
4720,Survey number mismatch over government land involving the state government filed in district court.,Ownership Conflict,Government
4721,Title deed forgery over residential land involving the state government filed in district court.,Land Dispute,Petitioner
4722,Ownership conflict over commercial land against local municipality filed in district court.,Survey Error,Respondent
4723,Boundary dispute over residential land between petitioner and respondent filed in district court.,Survey Error,Government
4724,Title deed forgery over residential land against local municipality filed in district court.,Survey Error,Respondent
4725,Boundary dispute over agricultural land against local municipality filed in district court.,Survey Error,Petitioner
4726,Boundary dispute over agricultural land against a private company filed in district court.,Survey Error,Petitioner
4727,Ownership conflict over private property against local municipality filed in district court.,Survey Error,Respondent
4728,Boundary dispute over agricultural land involving the state government filed in district court.,Survey Error,Government
4729,Illegal possession over government land between two private parties filed in district court.,Ownership Conflict,Petitioner
4730,Illegal possession over government land against local municipality filed in district court.,Ownership Conflict,Respondent
4731,Illegal possession over agricultural land against local municipality filed in district court.,Ownership Conflict,Petitioner
4732,Title deed forgery over private property against a private company filed in district court.,Survey Error,Government
4733,Survey number mismatch over commercial land against a private company filed in district court.,Survey Error,Respondent
4734,Survey number mismatch over government land against local municipality filed in district court.,Land Dispute,Petitioner
4735,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
4736,Illegal possession over commercial land against a private company filed in district court.,Ownership Conflict,Government
4737,Survey number mismatch over commercial land against a private company filed in district court.,Ownership Conflict,Government
4738,Ownership conflict over private property against local municipality filed in district court.,Land Dispute,Respondent
4739,Title deed forgery over agricultural land against local municipality filed in district court.,Survey Error,Government
4740,Survey number mismatch over commercial land involving the state government filed in district court.,Survey Error,Petitioner
4741,Title deed forgery over residential land involving the state government filed in district court.,Land Dispute,Respondent
4742,Illegal possession over residential land against a private company filed in district court.,Land Dispute,Petitioner
4743,Survey number mismatch over private property between petitioner and respondent filed in district court.,Land Dispute,Respondent
4744,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
4745,Boundary dispute over government land between petitioner and respondent filed in district court.,Survey Error,Respondent
4746,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
4747,Ownership conflict over agricultural land between two private parties filed in district court.,Survey Error,Government
4748,Title deed forgery over commercial land against a private company filed in district court.,Land Dispute,Respondent
4749,Ownership conflict over residential land involving the state government filed in district court.,Survey Error,Respondent
4750,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Petitioner
4751,Illegal possession over agricultural land involving the state government filed in district court.,Ownership Conflict,Government
4752,Title deed forgery over government land against local municipality filed in district court.,Ownership Conflict,Petitioner
4753,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
4754,Ownership conflict over government land involving the state government filed in district court.,Survey Error,Government
4755,Survey number mismatch over private property against a private company filed in district court.,Ownership Conflict,Government
4756,Boundary dispute over private property against a private company filed in district court.,Land Dispute,Respondent
4757,Survey number mismatch over commercial land against a private company filed in district court.,Survey Error,Petitioner
4758,Illegal possession over residential land involving the state government filed in district court.,Land Dispute,Petitioner
4759,Survey number mismatch over government land against a private company filed in district court.,Land Dispute,Respondent
4760,Survey number mismatch over residential land involving the state government filed in district court.,Land Dispute,Government
4761,Ownership conflict over private property between petitioner and respondent filed in district court.,Land Dispute,Government
4762,Boundary dispute over commercial land between two private parties filed in district court.,Ownership Conflict,Respondent
4763,Title deed forgery over government land between petitioner and respondent filed in district court.,Land Dispute,Government
4764,Survey number mismatch over private property between petitioner and respondent filed in district court.,Ownership Conflict,Government
4765,Title deed forgery over private property against local municipality filed in district court.,Ownership Conflict,Respondent
4766,Illegal possession over government land against a private company filed in district court.,Survey Error,Government
4767,Ownership conflict over commercial land involving the state government filed in district court.,Ownership Conflict,Respondent
4768,Illegal possession over commercial land against local municipality filed in district court.,Land Dispute,Government
4769,Survey number mismatch over private property between two private parties filed in district court.,Ownership Conflict,Petitioner
4770,Title deed forgery over private property between two private parties filed in district court.,Survey Error,Government
4771,Title deed forgery over commercial land between two private parties filed in district court.,Survey Error,Respondent
4772,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Government
4773,Boundary dispute over agricultural land involving the state government filed in district court.,Ownership Conflict,Government
4774,Ownership conflict over private property involving the state government filed in district court.,Survey Error,Respondent
4775,Ownership conflict over private property against local municipality filed in district court.,Survey Error,Respondent
4776,Title deed forgery over private property against a private company filed in district court.,Land Dispute,Petitioner
4777,Survey number mismatch over agricultural land against local municipality filed in district court.,Survey Error,Government
4778,Survey number mismatch over commercial land between petitioner and respondent filed in district court.,Survey Error,Government
4779,Boundary dispute over agricultural land between two private parties filed in district court.,Survey Error,Government
4780,Survey number mismatch over agricultural land against local municipality filed in district court.,Land Dispute,Petitioner
4781,Illegal possession over private property against a private company filed in district court.,Ownership Conflict,Respondent
4782,Survey number mismatch over private property involving the state government filed in district court.,Land Dispute,Government
4783,Illegal possession over agricultural land against a private company filed in district court.,Survey Error,Government
4784,Boundary dispute over commercial land involving the state government filed in district court.,Land Dispute,Respondent
4785,Survey number mismatch over residential land against local municipality filed in district court.,Ownership Conflict,Petitioner
4786,Title deed forgery over private property between petitioner and respondent filed in district court.,Survey Error,Petitioner
4787,Illegal possession over government land involving the state government filed in district court.,Ownership Conflict,Petitioner
4788,Survey number mismatch over private property against a private company filed in district court.,Survey Error,Government
4789,Boundary dispute over residential land involving the state government filed in district court.,Land Dispute,Respondent
4790,Ownership conflict over government land between two private parties filed in district court.,Ownership Conflict,Petitioner
4791,Title deed forgery over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
4792,Title deed forgery over private property between petitioner and respondent filed in district court.,Survey Error,Petitioner
4793,Survey number mismatch over residential land against local municipality filed in district court.,Survey Error,Petitioner
4794,Ownership conflict over private property between two private parties filed in district court.,Ownership Conflict,Government
4795,Boundary dispute over residential land between petitioner and respondent filed in district court.,Survey Error,Respondent
4796,Ownership conflict over private property involving the state government filed in district court.,Ownership Conflict,Government
4797,Survey number mismatch over private property against local municipality filed in district court.,Land Dispute,Government
4798,Boundary dispute over government land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
4799,Title deed forgery over agricultural land against local municipality filed in district court.,Survey Error,Government
4800,Boundary dispute over residential land against a private company filed in district court.,Survey Error,Respondent
4801,Survey number mismatch over agricultural land involving the state government filed in district court.,Ownership Conflict,Petitioner
4802,Illegal possession over commercial land between two private parties filed in district court.,Land Dispute,Petitioner
4803,Illegal possession over residential land involving the state government filed in district court.,Ownership Conflict,Petitioner
4804,Survey number mismatch over agricultural land between two private parties filed in district court.,Ownership Conflict,Respondent
4805,Boundary dispute over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Government
4806,Survey number mismatch over private property against local municipality filed in district court.,Ownership Conflict,Respondent
4807,Boundary dispute over government land involving the state government filed in district court.,Ownership Conflict,Respondent
4808,Boundary dispute over commercial land between two private parties filed in district court.,Ownership Conflict,Petitioner
4809,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
4810,Title deed forgery over government land involving the state government filed in district court.,Survey Error,Government
4811,Survey number mismatch over commercial land against local municipality filed in district court.,Land Dispute,Government
4812,Boundary dispute over private property against a private company filed in district court.,Land Dispute,Petitioner
4813,Boundary dispute over government land between two private parties filed in district court.,Survey Error,Petitioner
4814,Survey number mismatch over government land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
4815,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Petitioner
4816,Survey number mismatch over private property between petitioner and respondent filed in district court.,Survey Error,Government
4817,Boundary dispute over commercial land against local municipality filed in district court.,Survey Error,Respondent
4818,Title deed forgery over agricultural land against a private company filed in district court.,Ownership Conflict,Respondent
4819,Boundary dispute over residential land between two private parties filed in district court.,Survey Error,Government
4820,Survey number mismatch over government land between petitioner and respondent filed in district court.,Land Dispute,Respondent
4821,Illegal possession over private property against a private company filed in district court.,Ownership Conflict,Government
4822,Illegal possession over agricultural land against a private company filed in district court.,Ownership Conflict,Respondent
4823,Illegal possession over government land involving the state government filed in district court.,Ownership Conflict,Government
4824,Survey number mismatch over government land between two private parties filed in district court.,Survey Error,Petitioner
4825,Survey number mismatch over commercial land against a private company filed in district court.,Survey Error,Respondent
4826,Survey number mismatch over residential land against a private company filed in district court.,Land Dispute,Petitioner
4827,Survey number mismatch over government land between petitioner and respondent filed in district court.,Ownership Conflict,Government
4828,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Government
4829,Illegal possession over agricultural land involving the state government filed in district court.,Land Dispute,Respondent
4830,Title deed forgery over agricultural land between two private parties filed in district court.,Survey Error,Government
4831,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
4832,Illegal possession over government land against local municipality filed in district court.,Survey Error,Respondent
4833,Illegal possession over commercial land against a private company filed in district court.,Survey Error,Government
4834,Survey number mismatch over agricultural land against a private company filed in district court.,Ownership Conflict,Government
4835,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Land Dispute,Government
4836,Illegal possession over private property against a private company filed in district court.,Ownership Conflict,Respondent
4837,Illegal possession over government land involving the state government filed in district court.,Survey Error,Petitioner
4838,Illegal possession over agricultural land against a private company filed in district court.,Ownership Conflict,Petitioner
4839,Boundary dispute over agricultural land involving the state government filed in district court.,Ownership Conflict,Government
4840,Illegal possession over residential land between two private parties filed in district court.,Land Dispute,Petitioner
4841,Title deed forgery over government land against local municipality filed in district court.,Survey Error,Respondent
4842,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Respondent
4843,Illegal possession over residential land involving the state government filed in district court.,Survey Error,Government
4844,Survey number mismatch over agricultural land against local municipality filed in district court.,Land Dispute,Government
4845,Title deed forgery over agricultural land against local municipality filed in district court.,Survey Error,Petitioner
4846,Title deed forgery over government land involving the state government filed in district court.,Ownership Conflict,Respondent
4847,Illegal possession over commercial land between two private parties filed in district court.,Land Dispute,Petitioner
4848,Illegal possession over residential land between petitioner and respondent filed in district court.,Survey Error,Government
4849,Illegal possession over agricultural land against local municipality filed in district court.,Survey Error,Government
4850,Boundary dispute over agricultural land against a private company filed in district court.,Land Dispute,Government
4851,Survey number mismatch over residential land against a private company filed in district court.,Ownership Conflict,Respondent
4852,Boundary dispute over commercial land between petitioner and respondent filed in district court.,Survey Error,Respondent
4853,Illegal possession over residential land between two private parties filed in district court.,Survey Error,Petitioner
4854,Survey number mismatch over residential land against a private company filed in district court.,Ownership Conflict,Government
4855,Illegal possession over commercial land between two private parties filed in district court.,Ownership Conflict,Petitioner
4856,Boundary dispute over residential land against a private company filed in district court.,Ownership Conflict,Government
4857,Boundary dispute over residential land against a private company filed in district court.,Land Dispute,Government
4858,Illegal possession over residential land against a private company filed in district court.,Ownership Conflict,Respondent
4859,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
4860,Survey number mismatch over agricultural land involving the state government filed in district court.,Survey Error,Petitioner
4861,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Respondent
4862,Illegal possession over private property between petitioner and respondent filed in district court.,Land Dispute,Petitioner
4863,Ownership conflict over private property against local municipality filed in district court.,Land Dispute,Government
4864,Survey number mismatch over private property involving the state government filed in district court.,Survey Error,Petitioner
4865,Title deed forgery over agricultural land involving the state government filed in district court.,Land Dispute,Respondent
4866,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
4867,Survey number mismatch over commercial land between two private parties filed in district court.,Land Dispute,Petitioner
4868,Illegal possession over private property between petitioner and respondent filed in district court.,Land Dispute,Government
4869,Survey number mismatch over private property against a private company filed in district court.,Land Dispute,Petitioner
4870,Title deed forgery over private property between petitioner and respondent filed in district court.,Survey Error,Government
4871,Boundary dispute over commercial land between petitioner and respondent filed in district court.,Survey Error,Government
4872,Boundary dispute over government land involving the state government filed in district court.,Land Dispute,Government
4873,Illegal possession over agricultural land against local municipality filed in district court.,Land Dispute,Government
4874,Illegal possession over private property between two private parties filed in district court.,Survey Error,Government
4875,Boundary dispute over private property against local municipality filed in district court.,Ownership Conflict,Government
4876,Ownership conflict over residential land against local municipality filed in district court.,Ownership Conflict,Government
4877,Illegal possession over residential land against local municipality filed in district court.,Land Dispute,Respondent
4878,Boundary dispute over residential land between petitioner and respondent filed in district court.,Survey Error,Respondent
4879,Ownership conflict over commercial land against local municipality filed in district court.,Ownership Conflict,Respondent
4880,Ownership conflict over private property against local municipality filed in district court.,Land Dispute,Government
4881,Ownership conflict over government land against a private company filed in district court.,Land Dispute,Petitioner
4882,Title deed forgery over commercial land between two private parties filed in district court.,Ownership Conflict,Petitioner
4883,Title deed forgery over commercial land against local municipality filed in district court.,Land Dispute,Government
4884,Title deed forgery over private property against a private company filed in district court.,Land Dispute,Government
4885,Title deed forgery over private property involving the state government filed in district court.,Land Dispute,Government
4886,Title deed forgery over residential land involving the state government filed in district court.,Survey Error,Respondent
4887,Illegal possession over private property between two private parties filed in district court.,Survey Error,Government
4888,Survey number mismatch over government land against a private company filed in district court.,Land Dispute,Government
4889,Title deed forgery over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
4890,Title deed forgery over residential land between petitioner and respondent filed in district court.,Land Dispute,Government
4891,Survey number mismatch over private property involving the state government filed in district court.,Land Dispute,Respondent
4892,Ownership conflict over commercial land involving the state government filed in district court.,Survey Error,Petitioner
4893,Boundary dispute over residential land between petitioner and respondent filed in district court.,Land Dispute,Respondent
4894,Boundary dispute over government land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
4895,Boundary dispute over residential land against local municipality filed in district court.,Land Dispute,Respondent
4896,Illegal possession over government land involving the state government filed in district court.,Land Dispute,Government
4897,Ownership conflict over residential land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
4898,Survey number mismatch over agricultural land involving the state government filed in district court.,Survey Error,Petitioner
4899,Illegal possession over residential land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
4900,Ownership conflict over private property involving the state government filed in district court.,Survey Error,Respondent
4901,Title deed forgery over agricultural land against a private company filed in district court.,Survey Error,Government
4902,Ownership conflict over private property between petitioner and respondent filed in district court.,Survey Error,Government
4903,Ownership conflict over government land between two private parties filed in district court.,Ownership Conflict,Government
4904,Title deed forgery over agricultural land between two private parties filed in district court.,Ownership Conflict,Respondent
4905,Survey number mismatch over private property between two private parties filed in district court.,Land Dispute,Petitioner
4906,Illegal possession over commercial land between two private parties filed in district court.,Survey Error,Government
4907,Illegal possession over residential land involving the state government filed in district court.,Survey Error,Government
4908,Boundary dispute over commercial land between two private parties filed in district court.,Land Dispute,Government
4909,Survey number mismatch over agricultural land involving the state government filed in district court.,Survey Error,Petitioner
4910,Boundary dispute over residential land against local municipality filed in district court.,Survey Error,Government
4911,Survey number mismatch over residential land against a private company filed in district court.,Ownership Conflict,Government
4912,Ownership conflict over agricultural land against a private company filed in district court.,Land Dispute,Government
4913,Ownership conflict over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
4914,Boundary dispute over commercial land against a private company filed in district court.,Land Dispute,Respondent
4915,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Survey Error,Respondent
4916,Illegal possession over private property against local municipality filed in district court.,Ownership Conflict,Government
4917,Title deed forgery over private property between two private parties filed in district court.,Land Dispute,Government
4918,Illegal possession over agricultural land between two private parties filed in district court.,Survey Error,Respondent
4919,Illegal possession over government land between petitioner and respondent filed in district court.,Survey Error,Government
4920,Survey number mismatch over private property against local municipality filed in district court.,Survey Error,Petitioner
4921,Illegal possession over private property involving the state government filed in district court.,Survey Error,Government
4922,Boundary dispute over government land against local municipality filed in district court.,Land Dispute,Respondent
4923,Title deed forgery over residential land involving the state government filed in district court.,Land Dispute,Petitioner
4924,Boundary dispute over agricultural land against a private company filed in district court.,Survey Error,Government
4925,Title deed forgery over agricultural land against local municipality filed in district court.,Land Dispute,Petitioner
4926,Title deed forgery over private property against a private company filed in district court.,Land Dispute,Respondent
4927,Boundary dispute over residential land against local municipality filed in district court.,Survey Error,Petitioner
